7zip 26.01-1.1
accountsservice 26.13.3-1.1
alacritty 0.17.0-1.2
alsa-firmware 1.2.4-4
alsa-plugins 1:1.2.12-5.1
alsa-utils 1.2.15.2-2.1
apparmor 4.1.7-1.1
ark 26.04.0-1.1
audacity 1:3.7.7-2
awesome-terminal-fonts 1.1.0-5
base 3-3
base-devel 1-2
bash-completion 2.17.0-3
bind 9.20.22-1.1
blender 17:5.1.1-7
bluedevil 1:6.6.4-1
bluez 5.86-5.1
bluez-hid2hci 5.86-5.1
bluez-libs 5.86-5.1
bluez-obex 5.86-5.1
bluez-utils 5.86-5.1
breeze-gtk 6.6.4-1
btop 1.4.6-2.1
btrfs-progs 6.19.1-1
cachy-update 3.19.3-1
cachyos-emerald-kde-theme-git r25.d61d1dd-1
cachyos-fish-config 15-1
cachyos-hello 0.24.0-1
cachyos-hooks 2026.02.05-1
cachyos-iridescent-kde r2.16aa352-1
cachyos-kde-settings 4.9-8
cachyos-kernel-manager 1.17.0-1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 27-1
cachyos-nord-kde-theme-git r16.d75759c-1
cachyos-packageinstaller 1.6.2-1
cachyos-plymouth-bootanimation 2-3
cachyos-plymouth-theme 1-1
cachyos-rate-mirrors 23-1
cachyos-settings 1:1.3.4-2
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
cachyos-wallpapers r23.964263e-1
cachyos-zsh-config 1.0.3-1
cantarell-fonts 1:0.311-1
char-white r3.ef1c007-1
chwd 1.21.0-1
cpupower 7.0.2-1
cryptsetup 2.8.6-1.1
cups 2:2.4.19-1
cups-filters 2.0.1-2.1
cups-pdf 3.0.2-1.9
device-mapper 2.03.40-1.1
diffutils 3.12-2.1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15.1
dnsmasq 2.92-1.1
dolphin 26.04.0-1.1
dosfstools 4.2-5.1
duf 0.9.1-1.1
e2fsprogs 1.47.4-1.1
efibootmgr 18-3.1
efitools 1.9.2-7.1
ethtool 1:7.0-1.1
exfatprogs 1.3.2-1.1
f2fs-tools 1.16.0-3.1
fastfetch 2.62.1-1.1
